Symbol,Date,Name,Currency,Price
BND,2026-07-10,Vanguard Total Bond Market Index Fund,USD,72.769997
AUD=X,2026-07-13,USD/AUD,AUD,1.440466
BILL.AX,2026-07-13,iShares Core Cash ETF,AUD,100.540001
BND,2026-07-13,Vanguard Total Bond Market Index Fund,USD,72.500000
AUD=X,2026-07-14,USD/AUD,AUD,1.445460
BILL.AX,2026-07-14,iShares Core Cash ETF,AUD,100.550003
BND,2026-07-14,Vanguard Total Bond Market Index Fund,USD,72.699997
AUD=X,2026-07-15,USD/AUD,AUD,1.433384
BILL.AX,2026-07-15,iShares Core Cash ETF,AUD,100.550003
BND,2026-07-15,Vanguard Total Bond Market Index Fund,USD,72.820000
AUD=X,2026-07-16,USD/AUD,AUD,1.426920
BILL.AX,2026-07-16,iShares Core Cash ETF,AUD,100.589996
BND,2026-07-16,Vanguard Total Bond Market Index Fund,USD,72.809998
AUD=X,2026-07-17,USD/AUD,AUD,1.433200
BILL.AX,2026-07-17,iShares Core Cash ETF,AUD,100.589996
